"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Получение списка упражнений курса","LMS service","Wed Dec 17 01:43:34 UTC 2025","passed","Wed Dec 17 01:43:34 UTC 2025","Get entities","Exercises","",""
"","558","Email пользователя: example.com","LMS service","Wed Dec 17 01:43:38 UTC 2025","passed","Wed Dec 17 01:43:39 UTC 2025","Create entity","Users","",""
"","41","Удаление упражнения","LMS service","Wed Dec 17 01:43:34 UTC 2025","passed","Wed Dec 17 01:43:34 UTC 2025","Delete entity","Exercises","",""
"","300","Получение данных упражнения","LMS service","Wed Dec 17 01:43:34 UTC 2025","passed","Wed Dec 17 01:43:34 UTC 2025","Get entity","Exercises","",""
"","832","Логин существующего пользователя","LMS service","Wed Dec 17 01:43:30 UTC 2025","passed","Wed Dec 17 01:43:30 UTC 2025","Login","Authentication","",""
"","24","Получение данных файла","LMS service","Wed Dec 17 01:43:36 UTC 2025","passed","Wed Dec 17 01:43:36 UTC 2025","Get entity","Files","",""
"","53","Создание файла без указания имени","LMS service","Wed Dec 17 01:43:36 UTC 2025","passed","Wed Dec 17 01:43:36 UTC 2025","Create entity","Files","",""
"","311","Обновление данных упражнения","LMS service","Wed Dec 17 01:43:31 UTC 2025","passed","Wed Dec 17 01:43:32 UTC 2025","Update entity","Exercises","",""
"","601","Обновление данных курса","LMS service","Wed Dec 17 01:43:32 UTC 2025","passed","Wed Dec 17 01:43:32 UTC 2025","Update entity","Courses","",""
"","578","Создание нового упражнения","LMS service","Wed Dec 17 01:43:30 UTC 2025","passed","Wed Dec 17 01:43:31 UTC 2025","Create entity","Exercises","",""
"","39","Удаление файла","LMS service","Wed Dec 17 01:43:36 UTC 2025","passed","Wed Dec 17 01:43:36 UTC 2025","Delete entity","Files","",""
"","1324","Email пользователя: gmail.com","LMS service","Wed Dec 17 01:43:36 UTC 2025","passed","Wed Dec 17 01:43:38 UTC 2025","Create entity","Users","",""
"","16","Получение файла с некорректным id","LMS service","Wed Dec 17 01:43:38 UTC 2025","passed","Wed Dec 17 01:43:38 UTC 2025","Get entity","Files","",""
"","318","Создание нового курса","LMS service","Wed Dec 17 01:43:32 UTC 2025","passed","Wed Dec 17 01:43:32 UTC 2025","Create entity","Courses","",""
"","848","Получение списка курсов","LMS service","Wed Dec 17 01:43:34 UTC 2025","passed","Wed Dec 17 01:43:35 UTC 2025","Get entity","Courses","",""
"","299","Создание файла без указания директории","LMS service","Wed Dec 17 01:43:38 UTC 2025","passed","Wed Dec 17 01:43:38 UTC 2025","Create entity","Files","",""
"","1069","Email пользователя: mail.ru","LMS service","Wed Dec 17 01:43:36 UTC 2025","passed","Wed Dec 17 01:43:37 UTC 2025","Create entity","Users","",""
"","1102","Создание файла","LMS service","Wed Dec 17 01:43:35 UTC 2025","passed","Wed Dec 17 01:43:36 UTC 2025","Create entity","Files","",""
"","13","Получение данных текущего пользователя","LMS service","Wed Dec 17 01:43:39 UTC 2025","passed","Wed Dec 17 01:43:39 UTC 2025","Get entity","Users","",""
